date,source_overseas,source_locally_acquired_no_links,source_locally_acquired_linked,source_locally_acquired_investigation,source_interstate,test_count
6/7/2021,1,2,31,1,0,36595
11/6/2021,0,0,0,0,0,16319
23/7/2020,1,1,5,0,0,26050
2/10/2020,0,0,0,0,0,7821
1/4/2021,0,0,0,0,0,11946
2/5/2020,0,2,0,0,0,5978
16/10/2020,2,0,5,0,0,11120
15/9/2021,0,119,406,795,0,127534
8/5/2021,7,0,0,0,0,8588
23/1/2021,5,0,0,0,0,6724
23/6/2020,10,0,0,0,0,18305
28/3/2020,95,12,34,0,2,2552
17/8/2021,1,29,281,235,1,144456
21/12/2020,4,0,8,0,0,63717
26/2/2020,0,0,0,0,0,333
19/7/2021,1,1,49,15,0,94939
28/7/2020,4,0,18,0,0,24850
6/6/2021,4,0,0,0,0,8758
30/1/2020,0,0,0,0,0,37
22/7/2020,3,1,12,0,0,28136
12/1/2021,5,0,0,0,0,17775
4/2/2020,0,0,0,0,0,61
5/7/2021,1,1,15,0,0,48696
12/6/2021,1,0,0,0,0,8044
24/8/2020,2,0,2,0,0,34847
8/12/2020,2,0,0,0,0,11433
13/5/2020,3,1,0,0,0,11399
7/3/2021,1,0,0,0,0,6016
10/10/2021,1,12,189,240,0,89326
1/4/2020,50,32,40,0,2,4194
27/6/2020,10,0,0,0,0,8815
4/5/2021,7,0,0,0,0,10868
19/1/2021,4,0,0,0,0,13790
13/8/2021,0,22,260,171,0,152673
18/6/2020,7,0,0,0,0,14587
12/8/2021,1,21,250,128,0,143573
5/3/2020,0,0,0,0,0,1515
15/2/2021,2,0,0,0,0,26670
13/5/2021,3,0,0,0,0,13478
29/7/2021,2,3,113,64,0,103684
12/6/2020,3,0,0,0,0,11965
19/5/2021,2,0,0,0,0,14421
15/3/2020,15,5,17,0,1,1678
5/2/2021,4,0,0,0,0,10149
7/4/2020,24,6,14,0,0,4775
10/11/2020,2,0,0,0,0,18792
12/4/2021,3,0,1,0,0,13016
12/9/2021,10,81,321,755,1,131999
21/9/2020,1,0,0,0,0,17956
27/7/2021,0,5,104,49,0,96236
29/12/2020,8,2,20,0,0,25594
5/8/2020,0,2,11,0,0,26019
8/1/2020,0,0,0,0,0,1
29/5/2021,3,0,0,0,0,8613
18/2/2020,0,0,0,0,0,204
25/1/2020,0,0,0,0,0,7
15/1/2021,12,1,1,0,0,11672
17/6/2021,0,0,1,0,0,27384
17/7/2020,5,2,6,0,0,23504
1/2/2020,0,0,0,0,0,21
8/7/2021,1,2,42,1,0,41425
8/3/2021,5,0,0,0,0,17689
10/5/2020,1,0,0,0,0,4068
11/12/2020,3,0,0,0,0,8051
23/8/2020,2,0,1,0,0,10364
9/10/2021,0,14,194,295,0,73242
17/1/2021,2,0,0,0,0,8775
3/4/2020,52,20,32,0,2,3759
2/5/2021,8,0,0,0,0,4775
15/8/2021,3,18,282,202,0,143143
29/6/2020,6,0,0,0,0,19938
18/2/2021,2,0,0,0,0,15495
28/5/2020,2,0,0,0,0,10782
23/11/2020,7,0,0,0,0,17630
10/9/2020,4,0,4,0,0,16231
27/10/2021,0,0,197,110,0,71436
4/4/2021,4,0,0,0,0,3986
17/10/2020,5,0,1,0,0,6205
29/9/2020,2,0,0,0,0,11382
20/9/2021,1,68,403,571,0,136888
1/5/2020,1,0,1,0,0,8669
18/1/2021,1,0,0,0,0,17882
30/6/2020,11,0,0,0,0,18246
1/5/2021,2,0,0,0,0,4514
16/8/2021,1,17,317,243,0,169303
2/4/2020,33,26,30,0,3,4108
11/1/2021,8,0,3,0,0,21467
29/1/2020,0,0,0,0,0,22
13/6/2021,8,0,0,0,0,7098
4/7/2021,0,0,31,0,0,29687
21/7/2020,0,0,13,0,1,29793
5/2/2020,0,0,0,0,0,72
8/6/2020,1,0,0,0,0,5175
2/8/2021,3,6,135,64,0,117541
9/2/2021,1,0,0,0,0,15342
11/3/2020,7,5,4,0,0,3454
23/5/2021,2,0,0,0,0,6422
26/8/2020,1,0,11,0,0,23629
20/10/2021,2,8,232,114,0,74244
20/11/2020,10,0,0,0,0,10965
31/5/2020,5,0,0,0,0,4417
5/3/2021,4,0,0,0,0,10313
5/5/2020,2,0,2,0,1,12649
3/10/2020,3,0,0,0,0,4836
31/3/2021,2,0,0,0,0,17213
13/10/2020,1,1,10,0,0,13048
16/9/2021,2,102,384,772,0,110378
29/2/2020,0,0,0,0,0,152
29/7/2020,0,3,11,0,1,23423
5/6/2021,3,0,0,0,0,8491
18/12/2020,9,0,19,0,0,41009
12/7/2021,1,3,59,10,0,68335
24/5/2020,1,0,0,0,0,3638
6/9/2020,0,0,4,0,0,7923
22/2/2021,4,0,0,0,0,21811
27/11/2020,8,0,0,0,0,8990
3/5/2021,9,0,0,0,0,14877
20/1/2021,5,0,0,0,0,13372
14/8/2021,2,12,195,116,0,123014
31/3/2020,67,23,36,0,5,4108
28/6/2020,3,0,0,0,0,7348
6/3/2020,0,0,0,0,0,1763
11/8/2021,2,16,227,126,0,149448
17/6/2020,2,0,0,0,0,15555
14/2/2021,0,0,0,0,0,9393
14/5/2021,2,0,0,0,0,11229
17/2/2020,0,0,0,0,0,200
2/8/2020,3,1,4,0,3,11107
1/6/2021,1,0,0,0,0,18795
24/7/2021,0,3,100,36,0,83380
30/12/2020,6,0,3,0,0,34684
